Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Umid Saburow,22 декабря 2024,Очень хорошо гасница чисто,5,Juldyz,4.2,706
Досбол Утегенов,22 декабря 2024,Оте таза керемет Постайанно клинет боламын осы жерге Кызымет оте жаксы,5,Juldyz,4.2,706
Динара Касымова,13 декабря 2024,"Постоянно посещаю эту гостиницу, очень уютненько аккуратненько в номерах чисто тепло, обслуживающий персонал приветлив.
Рекомендую посетить вам понравится",5,Juldyz,4.2,706
Не указано,5 января 2025,"Отличный отель, особенно его месторасположение. Вокруг тишина и чистый воздух. Уютные номера с белоснежным бельём, всё необходимое присутствует (халаты, тапочки, банные принадлежности). Отличный вид на телебашню Кок Тобе.
Особенно хочу отметить гостеприимство и профессионализм администратора Заура, всё рассказал, показал, посоветовал. Всегда был на связи 24/7.
Спасибо большое, обязательно приеду ещё!",5,Green Hill Hotel,4.9,120
Samal Kurmanbekova,19 апреля 2025,Отель шикарный! Все понравилось! Рекомендуем!!👍🏼,5,Green Hill Hotel,4.9,120
Ай Дю,"8 апреля 2025, отредактирован","Очень классное местечко, нам очень понравилось уютно чисто, спасибо за отдых!рекомендую!спасибо персоналу за теплый прием!❤️горы рядом 😍",5,Green Hill Hotel,4.9,120
magic forlife,"27 марта 2025, отредактирован","Приятная и уютная атмосфера,горы рядом,чистый воздух,отзывчивый персонал,все понравилось,благодарю за теплый прием,и желаю процветания!",5,Green Hill Hotel,4.9,120
Salonkrasoty Almaty,"26 марта 2025, отредактирован","Останавливались в Green Hill Hotel на Найманбаева, 31 и остались в полном восторге! Очень уютное место с чистыми, просторными номерами и стильным интерьером. Постельное белье белоснежное, кровати удобные, есть халаты и тапочки — чувствуется забота о гостях.

Персонал вежливый и отзывчивый, всегда готовы помочь. Завтраки вкусные и разнообразные, есть блюда местной кухни. Еще одно преимущество — удобное расположение: тихий район, но до центра легко добраться.

Отдельное удовольствие — сауна с бассейном, особенно после долгого дня. Обязательно вернемся снова, рекомендую этот отель!",5,Green Hill Hotel,4.9,120
Dariga❤️ Arinova,23 марта 2025,Все круто,5,Green Hill Hotel,4.9,120
Turar Nasenov,21 февраля 2025,"Kz - Rus - Ang

1)Қайырлы күн, кез келген туристік орындарға экскурсия жасаймыз,біздің міндет сізді Алматы қаласының көрікті әсем жерлеріне алып барып - алып келу,
Біз ұсынатын маршуттар төменде:
1)Көлсай көлі
2)Шарын шатқалы
3)Қайыңды көлі
4)Ой Қарағай тау шаңғы базасы
5)Есік көлі
6)Алма Арасан Сақ моншасы
7)Шымбұлақ тау базасы
8)Атпен серуен + кводрацикл
Және тағы басқа экскурсиялық турлар

———————————————-

2)Добрый день, мы осуществляем экскурсии по любым туристическим местам, наша задача доставить вас в самые красивые места Алматы.
Предлагаемые нами маршруты приведены ниже:
1) Озеро Кольсай
2) Шарынское ущелье
3) Озеро Кайынды
4) Горнолыжная база Ой Карагай
5) Озеро Есик
6) Алма Арасан Сакский баня
7) Горнолыжная база Шымбулак
8) Верховая езда + квадроцикл
И другие экскурсионные туры

————————————-

3)Good day, we make excursions to any tourist places, our task is to take you to the most beautiful places of Almaty.
The routes we offer are below:
1) Kolsay Lake
2) Sharyn gorge
3) Birch Lake
4) Oy Karagay mountain ski base
5) Esik Lake
6) Alma Arasan Sak bath
7) Shymbulak mountain base
8) Horse riding + quad bike
And other sightseeing tours

Және бұдан бөлек күнделікті автобусный экскурсиялық турлар күн сайын болады

Инстаграм: kazakhstan.sayahat
Тел: 87773054870

Жеке жеңіл көлікпен экскурсия жасау !",5,Green Hill Hotel,4.9,120
Maxim Isaev,"9 февраля 2025, отредактирован","Чистые номера, хорошая локация.",4,Green Hill Hotel,4.9,120
Dosbolov 01,28 января 2025,"Тихий , уютный отель , отличный сервис",5,Green Hill Hotel,4.9,120
Арнур Абдешов,20 января 2025,Все отлично мне очень понравился тихий район самый главное чистата чистый,5,Green Hill Hotel,4.9,120
Олжас Нурлан,14 января 2025,"Провел здесь неделю, все понравилось. Чистота везде, завтрак на уровне. Понравился бассейн, вода чистая, сауна комфортная. Персонал отзывчивый",5,Green Hill Hotel,4.9,120
Алтыншаш Жанибекова,14 января 2025,"Комфортные и просторные номера, завтрак включен, ассортимент достойный. Территория чистая)",5,Green Hill Hotel,4.9,120
Apple User A,"14 января 2025, отредактирован","Я был гостем данного отеля, и, к сожалению, мой опыт пребывания здесь оставил крайне негативное впечатление. Видно, что за отелем совершенно не следят, а система управления просто ужасная. Уже с первых дней пребывания я заметил грубое отношение хозяина отеля к работающему персоналу. Постоянно слышно, как он звонит на ресепшен, даже ночью. Номер был расположен на первом этаже, поэтому все разговоры, крики и звонки доносились прямо в комнату, что мешало отдыхать.

Состояние самого отеля оставляет желать лучшего. Во время проживания произошел потоп – сверху текла вода, заливая номер. В номере было очень холодно, а постельное белье оказалось грязным. Когда я попросил его заменить, мне сообщили, что это невозможно, потому что цены на номера якобы невысокие, и поэтому уборка проводится плохо.

Территория отеля тоже в плачевном состоянии, видно, что ей давно не занимаются. Локация крайне неудобная – отель расположен далеко от центра, развлекательных заведений и даже обычного магазина. Добраться зимой сложно: дорога крутая, и на машине подняться практически невозможно, хотя отель не находится в горах.

Сервиса в самом отеле нет. Нет ни ресторана, ни кафе, а завтраки просто ужасные. Нам подали несвежие яйца, заветренные сосиски и другие продукты, которые явно не были первой свежести. Создается впечатление, что владелец просто экономит на всем, включая комфорт гостей.

В номерах тонкие стены и двери – слышно абсолютно все, что происходит вокруг. Мебель неудобная, кровати маленькие. И самое неприятное – в номере я обнаружил нашествие клопов, что стало последней каплей.

В целом, видно, что хозяин отеля не заинтересован в его развитии. Этот бизнес требует грамотного управления, но здесь его просто нет. Категорически не рекомендую это место для проживания.

.",1,Green Hill Hotel,4.9,120
Дика Ларсен,"13 января 2025, отредактирован","Заглянула поностальгировать. Какие-то липовые отрицательные отзывы появились. Останавливалась в этом отеле на выходных в честь Дня независимости. Все очень понравилось: просторный чистый номер, возможность основательно позавтракать, щебет птичек во дворе, дружелюбный коллектив 💚 А еще можно прогуляться по Теренкуру",5,Green Hill Hotel,4.9,120
Тарас Титов,11 января 2025,"Прекрасное место для отдыха. Современные номера, вкусные завтраки, а территория радует глаз. Очень понравилось видеть белок рядом",5,Green Hill Hotel,4.9,120
Расул Турусбеков,9 января 2025,"Саламалейкум всем.Провел здесь сутки, остался очень доволен. Номера чистые, уютные, видно, что за ними хорошо ухаживают. Воздух свежий, атмосферно и приятно находиться. Особое спасибо администратору — парень оказался очень грамотным и дружелюбным, сразу показал, что здесь заботятся о гостях. В общем, очень рекомендую)",5,Green Hill Hotel,4.9,120
Кирилл Прохоров,5 января 2025,"Отель очень хороший,заслужено должен занимать место из лучший отелей города Алма-ты. Сервис отличный,администраторы и персонал отеля очень приветливый и компетентный. Номера чистые и комфортные,также современные.
Всем советую отель Green Hill",5,Green Hill Hotel,4.9,120
Тимур Гурбанов,4 января 2025,"Здравствуйте хочу оставить свои положительные впичатления отелю Green Hill … Отель со своей парковкой что очень удобно расположен в экологическом районе с хорошим видом в горы … очень чистые номера в которых есть все принадлежности … Ребята с ресепшена это отдельная история вежливые, добрые , отзывчивые в любое время дня и ночи отвечают на звонки и смс в вотсапе помогут даже тяжелые сумки поднять в номер спасибо руководству за такие удобства… всем рекомендую …",5,Green Hill Hotel,4.9,120
Султан Ахметов,1 января 2025,Тут чисто и уютно.,5,Green Hill Hotel,4.9,120
Jamilya Serkebaeva,30 декабря 2024,"Очень уютные номера и прекрасный вид на горы ! Ресепшен на высшем уровне , предоставил хороший номер , будем приезжать теперь",5,Green Hill Hotel,4.9,120
Tokaev ⁶⁶⁷,30 декабря 2024,"Приятное место для отдыха. Просторные номера, доброжелательный персонал, вкусные завтраки. Бассейн и сауна добавили релакса",5,Green Hill Hotel,4.9,120
Алишер Нурмагамбетов,26 декабря 2024,"Отель оставил только положительные впечатления. Чистота, комфорт и природа вокруг — всё на высшем уровне. Благодарим за отдых.",5,Green Hill Hotel,4.9,120
Yerbol Abzalov,24 декабря 2024,"Остановились на пару дней. Уютно, тихо, вокруг горы и природа. Завтраки сытные, персонал отзывчивый. Отличный выбор для расслабления.",5,Green Hill Hotel,4.9,120
Dias Bakhytzhanev,21 декабря 2024,Восхитительный сервис! Дружелюбный персонал и комфорт.,5,Green Hill Hotel,4.9,120
Ермек Калдыбаев,19 декабря 2024,"Останавливались в Green Hill Hotel в комфорт номере. Всё понравилось: чистота, стильный интерьер и доброжелательность сотрудников. Обязательно вернёмся сюда снова",5,Green Hill Hotel,4.9,120
Gulzhamal Shaken,8 декабря 2024,"Останавливались в небольшом и уютном отеле в горах, район Кок-Тобе 2. Все было чисто и аккуратно. Вид из окна на горы просто волшебный, особенно если нет тумана или смога. Отель расположен в спальном районе, поэтому здесь очень тихо – идеальное место для отдыха.

Нас приятно удивило, что ради нас приготовили завтрак пораньше, чтобы мы успели покушать перед насыщенным днем. Да, выбор блюд небольшой, но все по-домашнему вкусно: яичница, жареные колбаски, каша и другое.

Отдельно хочется отметить заботу персонала – нам даже предоставили зарядку, когда мы свою забыли. Однозначно вернемся сюда снова!",5,Green Hill Hotel,4.9,120
Ляззат Турланова,4 декабря 2024,"Добрый день!
У нас остались незабываемые впечатления. Провели выходные в этом отеле. Как же тут здорово. Чистый воздух, красивые виды и уютные номера. Спасибо за шикарный отдых",5,Green Hill Hotel,4.9,120
Dmitriy Pak,1 декабря 2024,"Останавливались на сутки, отдохнуть от городской суеты! Прекрасный сервис, чистые номера, новый ремонт. Отдельно отмечу сервис еще на этапе бронирования, класс! Отличная баня! А природа вокруг шикарная, после вкусного завтрака с утра, прогулялись по Теренкуру, просто класс! Спасибо!",5,Green Hill Hotel,4.9,120
Динара Шапиянова,29 ноября 2024,Рай для любителей природы. Сауна с бассейном — просто идеально после долгого дня. Рекомендую всем,5,Green Hill Hotel,4.9,120
Мухтар Адылов,28 ноября 2024,Был здесь не один раз Рахмет за сервис ))),5,Green Hill Hotel,4.9,120
Гульназ Имангалиева,28 ноября 2024,Номера в отеле очень чистые и комфортные. Завтраки разнообразные и вкусные. В сочетании с красивыми пейзажами это идеальное место для отдыха,5,Green Hill Hotel,4.9,120
Жасик Капаров,"28 ноября 2024, отредактирован",Вежливый персонал,5,Green Hill Hotel,4.9,120
Сергей Медведев,25 ноября 2024,"Вернусь снова! Здесь чистота, уют и прекрасная природа",5,Green Hill Hotel,4.9,120
Айзере Сапарова,21 ноября 2024,Отличный сервис! Персонал очень вежливый и отзывчивый. Сауна и бассейн помогли расслабиться после активного дня. Буду рекомендовать всем друзьям,5,Green Hill Hotel,4.9,120
Жаник Махамбетов,19 ноября 2024,"Идеальное место для семейного отдыха. Дети были в восторге от белок, которые бегали по территории. Номера просторные и удобные",5,Green Hill Hotel,4.9,120
Дарина Ермекова,18 ноября 2024,"Не хватает слов, чтобы описать красоту! Природа вокруг отеля просто завораживает. Уютные номера и чистый воздух — это то, что мне было нужно для отдыха",5,Green Hill Hotel,4.9,120
Вероника Ульянова,13 ноября 2024,"Отличный отель! Останавливались с семьей, все ооочень понравилось))
Чисто, светло, расположение тоже порадовало!!!
Вернемся обязательно и рекомендуем всем!))",5,Green Hill Hotel,4.9,120
Гаухар Орынбасарова,12 ноября 2024,"Отличное расположение отеля и приятный персонал.
Расположение и качество предоставляемых услуг соответствует моим ожиданиям.",5,Green Hill Hotel,4.9,120
Кайрат Казиев,12 ноября 2024,"Недавно отдыхали здесь, с семьей. Отличный отель с прекрасным расположением у подножья гор. С территории отеля открывается прекрасный вид на Кок Тобе-чистый воздух.
Отдельно хочу отметить, то что отель предоставил отдельную полноценную детскую кроватку Нашему малышу.
Персонал также не оставил равнодушным, ежедневная уборка.
Снизу располагается баня, это как приятный бонус к нашему номеру.
Ставлю твердую 5-ку, советую!",5,Green Hill Hotel,4.9,120
Дидар Алиева,12 ноября 2024,"Отличное место для отдыха😍
Здесь такой чистый воздух и прекрасная природа, полный релакс. Номера современные и уютные, а завтраки просто шикарные!",5,Green Hill Hotel,4.9,120
Мехрим Аблизова,8 ноября 2024,"Отличный отель расположение, завтраки, уборка - все на высшем уровне 🔥",5,Green Hill Hotel,4.9,120
G K,8 ноября 2024,"В номерах чисто,уютная гостиница ☺️",5,Green Hill Hotel,4.9,120
smuta teaser,8 ноября 2024,отличная локация и отличный сервис 💐,5,Green Hill Hotel,4.9,120
Алишер Марат,8 ноября 2024,"На твердую пятерку, отель хороший 👍🏻",5,Green Hill Hotel,4.9,120
D S,8 ноября 2024,"Номера новые,расположение удобное, отель достойного уровня👍🏼 Нам с мужем понравилось",5,Green Hill Hotel,4.9,120
Илияс Нургазы,8 ноября 2024,Регулярно останавливаюсь все нравится 🔥🔥,5,Green Hill Hotel,4.9,120
Rashid Abdurakhmanov,8 ноября 2024,"Очень понравился отель, жили 4 дня, номер отличный",5,Green Hill Hotel,4.9,120
Tina Limova,8 ноября 2024,"Прекрасный отель 👍🏼Заботливый и отзывчивый персонал, особенно Марина прекрасная девушка 😍",5,Green Hill Hotel,4.9,120
Правдивый Отзыв,8 ноября 2024,"Шикарный номер дали, все новое чистое 👍🏻рекомендую",5,Green Hill Hotel,4.9,120
Jetisu Almaty,31 октября 2024,"Мне очень понравился отель, самое расположение чего стоит. Плюс к этому приятная женщина на ресепшене по имени Ляззат очень вежливая, тактичная, адекватная. А адекватных на ресепшене в наше время найти сложно). Знаю это наверняка, так как часто останавливаюсь в гостиницах в разных городах. Сервис на высоком уровне ,одним словом.",5,Green Hill Hotel,4.9,120
Zhenis Mambetov,"27 апреля 2025, отредактирован",Супер грум большие и инструкторы хорошие,5,Ак-Булак,4.7,1761
Zhora Boba,"26 апреля 2025, отредактирован","Красивые виды , Номера в ретро стиле",5,Ак-Булак,4.7,1761
Сайлаукуль Далабаева,25 апреля 2025,Чистый воздух.Шикарная природа.Но выглядит запущенным,1,Ак-Булак,4.7,1761
Akniet Seitbek,"25 апреля 2025, отредактирован",Очень классные горки и еда,5,Ак-Булак,4.7,1761
s 🪬,"25 апреля 2025, отредактирован","Вкусные завтраки,комфортный отель,и бассейн классный)",5,Ак-Булак,4.7,1761
Нилюфор Розахунова,"22 апреля 2025, отредактирован",Превосходно,5,Ак-Булак,4.7,1761
yerlan sarsenov,"20 апреля 2025, отредактирован",Горнолыжка топ,5,Ак-Булак,4.7,1761
Андрей Ким,20 апреля 2025,"Свежий воздух,шикарная природа.",4,Ак-Булак,4.7,1761
❤️‍🔥 ❤️‍🔥,"20 апреля 2025, отредактирован",Горы очень красивые,5,Ак-Булак,4.7,1761
Салтанат Нусипова,"17 апреля 2025, отредактирован",Канатка на ремонте,2,Ак-Булак,4.7,1761
Svetlana Shreyder,"13 апреля 2025, отредактирован","Были осенью 2024 года...
Хотим выразить огромную благодарность всему персоналу высокогорного курорта Ак-Булак! Место просто потрясающее — горы, свежий воздух, невероятные виды и атмосфера уюта. Отдельное спасибо всем работникам на станциях — выручили нас по-настоящему, помогли с доставкой коляски на вершину. Без вашей помощи нам было бы очень сложно, а благодаря вам прогулка стала комфортной и запоминающейся. Спасибо за отзывчивость, доброту и искреннее желание помочь. Таких людей хочется благодарить от всего сердца! Обязательно приедем снова!",5,Ак-Булак,4.7,1761
Ishat Gg,11 апреля 2025,Очень классное место для катания и цены адекватные,5,Ак-Булак,4.7,1761
Александр Больев,"11 апреля 2025, отредактирован","Прекрасная природа, туда можно покататься на лыжах и сноубордах, цена средняя 10 тыс за 4 часа",5,Ак-Булак,4.7,1761
Zhibek Kudaibergenova,"5 апреля 2025, отредактирован","Любимый лагерь❤️‍🩹
В лагере можно почувствовать себя живым, свободным человеком в окружении новых друзей и родных вожатых. Каждый день происходило что-то новое и интересное, игры, квесты, приключения, танцы, актерское мастерство, каждый день дискотеки и при чем у Алишер агая прекрасный вкус в музыке. Вожатые очень дружные, с ними можно было поговорить обо всем, поговорить по душам и также посмеяться. Я благодарна этому лагерю за то, что у меня появились новые друзья, знакомые, с которыми мы после лагеря также общаемся, за такие тёплые воспоминания и я благодарна лагерю и вожатым за то, что дали понять , что быть открытой и веселой это очень классно. На самом деле так приятно вспоминать и пересматривать фотки и видео с лагеря. ab family💙🩵",5,Ак-Булак,4.7,1761
Vladimir Rambler,"4 апреля 2025, отредактирован",Красивый большой комплекс. Но выглядит немного запущенным.,4,Ак-Булак,4.7,1761
Bopeshka Zhobalay,"2 апреля 2025, отредактирован","Сам лыжный курорт классный, но я туда ни ногой. Упала со сноуборда, больно до слез. Пусть ходят туда профессионалы😝",5,Ак-Булак,4.7,1761
Got Damn! User,"1 апреля 2025, отредактирован",Ну конечно не Швейцария но тож пойдет для Казахстана,4,Ак-Булак,4.7,1761
Kamii ////,"29 марта 2025, отредактирован",Зато с пауками вместе,1,Ак-Булак,4.7,1761
Bauyrzhan Aruzhan,"27 марта 2025, отредактирован","Просто шикарный отель в горах🙏🏻😍советую больше всего в зимой ездить,прекрасно волшебно как в сказках!",5,Ак-Булак,4.7,1761
Apple User,"26 марта 2025, отредактирован","Люблю горы, очень нравится",5,Ак-Булак,4.7,1761
R.A_222 .,"25 марта 2025, отредактирован",самое лучшее место для катания на лыжах и на сноуборде,5,Ак-Булак,4.7,1761
Сания Сеитхан,"24 марта 2025, отредактирован",Постоянно тут катаюсь,5,Ак-Булак,4.7,1761
Alan Muratov,"24 марта 2025, отредактирован","Отвратительное богом забытое место. Замызганый и грязный ретро мотель. Номера маленькие и уставшие. В столовке 80% еды нет, а то что есть целый час готовят.",1,Ак-Булак,4.7,1761
Alan Mur,"24 марта 2025, отредактирован","Бронируем люкс номер приежаем а он занят и нас сосиляютв стандарт, спросили работает ли горнолыжка они сказали да приежаем говорят не работает плохой отель не предупреждают что приежает лагеря в 00:00 не спит весь лагерь таже одну звезду жалко",1,Ак-Булак,4.7,1761
Айжан Карменова,"24 марта 2025, отредактирован",Классное место для отдыха и прогулки,5,Ак-Булак,4.7,1761
Паблик,24 марта 2025,"Имба место, тут был Мансур Маратов из 8Д, место 5 звёзд, семья прям пушка и еда тоже мне все очень и очень понравилось",5,Ак-Булак,4.7,1761
Z,"19 марта 2025, отредактирован",Это ужасно,1,Ак-Булак,4.7,1761
Амир Бораш,"19 марта 2025, отредактирован",Там кайф,5,Ак-Булак,4.7,1761
Динара Касымханова,"18 марта 2025, отредактирован",Очень понравилось место для отдыха! Мы здесь приятно провели время! Природа просто шикарная),5,Ак-Булак,4.7,1761
Nurmash,"18 марта 2025, отредактирован",Зор,5,Ак-Булак,4.7,1761
Aiman Rakisheva,"15 марта 2025, отредактирован",Отличное место для катании на лыжах и коньках. Только мало мест для пикника. А которые есть немного не привлекательные. А так отлично отдохнули.,5,Ак-Булак,4.7,1761
Vassilyeva Ekaterina,"15 марта 2025, отредактирован","Это сказка 😍 столько эмоций от одного места я не получала) Как же все красиво, свежо и нереально атмосферно ❤️",5,Ак-Булак,4.7,1761
Айзере Жамбыл,"15 марта 2025, отредактирован",Оченн. Крутоо,5,Ак-Булак,4.7,1761
Nadezhda Kalinichenko,"4 марта 2025, отредактирован",Любимое месте для покатушек 🔥🎿,5,Ак-Булак,4.7,1761
Nurzhan Nussipov,"3 марта 2025, отредактирован",Отличный отдых,5,Ак-Булак,4.7,1761
Ералы адидас,"3 марта 2025, отредактирован",Харооош,4,Ак-Булак,4.7,1761
Бексултан Ронин,"2 марта 2025, отредактирован",Nice place! Best ski resort,5,Ак-Булак,4.7,1761
Ademi Duisenova 🖤,"27 февраля 2025, отредактирован",👍🏻👍🏻😍,5,Ак-Булак,4.7,1761
Irakly Kurtsikidze,"27 февраля 2025, отредактирован",Живописнейшее место и отличный горнолыжный склон👍👍👍в выходные очень много народу😄,5,Ак-Булак,4.7,1761
rain.ww,"24 февраля 2025, отредактирован","очень крута, Константин Иванович сигма🌚",5,Ак-Булак,4.7,1761
Akerke 😎,"23 февраля 2025, отредактирован","Наверху делать нечего, но вид офигенный
Можно было кафешку построить, кайфово было бы кушать любуясь 🏔️",4,Ак-Булак,4.7,1761
Алина Пурпур,23 февраля 2025,"Воздух , природа кайф",5,Ак-Булак,4.7,1761
fetl1k skibidi,"22 февраля 2025, отредактирован","сам курорт хороший с сравнением с другими, и цены чуть ниже, но есть трудности с тем что доехать до самого курорта трудно и долго. Так же в самой трассе есть длинная пологая часть на которым сложно проехать на сноуборде",4,Ак-Булак,4.7,1761
Vlowlx .,"21 февраля 2025, отредактирован",Отличные трассы,5,Ак-Булак,4.7,1761
Vladislav Bagranov,16 февраля 2025,"Приезжал кататься на лыжах с сыном. Не был в Ак-Булаке лет 5. Стало хуже ((( Как я понял, в каждом углу свой арендатор...

(+) Природа и воздух, который то и дело портят шашлычники.

(-) Прокат оборудования 15000. В залог нужно оставить документы или деньги. Парковка 2000. Туалеты платные, но если бы они были в порядке.... Полурабочее состояние, сушилки не работают, грязно....
Решили больше не ездить...((",3,Ак-Булак,4.7,1761
Анастасия Мамедова,"15 февраля 2025, отредактирован","Природа и воздух, и недалеко от дома",5,Ак-Булак,4.7,1761
Aydyn Sultanov,"12 февраля 2025, отредактирован",Круто,5,Ак-Булак,4.7,1761
Madina Muhametzhanovna,"11 февраля 2025, отредактирован","Ақбұлақ, махаббат мекені🫂❤️ертегілер әлемі👍",5,Ак-Булак,4.7,1761
Даниал Д,"9 февраля 2025, отредактирован",дорого богато,5,Ак-Булак,4.7,1761
I Nur,8 февраля 2025,"Отель на очень низком уровне. Мы приехали с Астаны, сняли люкс за 85 тыс тенге в сутки. Немного сдвинули диван, чтобы удобнее было, а там куча мусора. Хотели открыть окно, чтобы проветрить, так как было оооочень душно и затхло в номере, ручки на окне нет, сломано. Воды питьевой нет, стоит чайник, но нет даже 1 пакетика чая. Очень сложно дозвониться до ресепшн, раза с 6-7 только получилось. Чтобы в номер заказать ужин пришлось спускаться самой, в рум сервис не дозвониться, просто не берут трубку. Несмотря на это, хотела выразить огромную благодарность Канату с ресепшн, который пришел лично и помог открыть окно, иначе бы задохнулись наверное ночью. В остальном очень разочаровались, несвежий, разваливающийся отель.",1,Ак-Булак,4.7,1761
Антон Золотухин,"29 апреля 2025, отредактирован","Очень приятно что из года в год делают ремонт и очень хорошо ухаживают за территорией. Понравился чистый бассейн с подогревом, бани все чистые, массаж на высшем уровне! Были 18.04.2025",5,Beis SPA Hotel & Resort,4.5,2565
Ayazhan Urynbaeva,"28 апреля 2025, отредактирован",на баре девушка дерзкая😍💔,5,Beis SPA Hotel & Resort,4.5,2565
Пулатов Дильшад,28 апреля 2025,Нормально нормально,5,Beis SPA Hotel & Resort,4.5,2565
Нигора Бекматова,"28 апреля 2025, отредактирован","В целом отдыхом мы недовольны 😤ужасный персонал ,неприветливый администратор 😠ужасный запах канализации в номере 🙄с утра на весь отель запах масла и еды 😤приехали отдыхать с другого города ,но никакого впечатления восторга у нас не было 🥺",1,Beis SPA Hotel & Resort,4.5,2565
Анель Ашимбайновна,"28 апреля 2025, отредактирован","Сняла два номера вчера. Отдых прошел на ура. Мы в шоке, что за такие деньги можно отдохнуть как за границей! Рахмет от души админу!",5,Beis SPA Hotel & Resort,4.5,2565
Алим Мишков,28 апреля 2025,"Лучший спа-отель в городе! Цены приемлемые, номера уютные. Персонал приветливый! Классный отдых в черте города!",5,Beis SPA Hotel & Resort,4.5,2565
Медина Мылова,28 апреля 2025,"Отель очень понравился. Номера чистые, уютные. Постельное белье, халаты и полотенце — все чистое, пахнет свежестью. Бассейн прохладный, но после парной освежает. Завтрак вкусный, особенно каша рисовая. Благодарим за хороший отдых",5,Beis SPA Hotel & Resort,4.5,2565
Aliya Smaganbetova,27 апреля 2025,"Не очень место, на сумму не стоит , баня только 3 работает!",1,Beis SPA Hotel & Resort,4.5,2565
Гульзира Каржакова,"27 апреля 2025, отредактирован","Сезон только начался , вода чистая и теплая в бассейне, полотенца все платные. Не понравилось, что лежаки все грязные, могли бы вытереть , так же по кухне дороговато конечно",4,Beis SPA Hotel & Resort,4.5,2565
Наталья А.,26 апреля 2025,"Хочу поблагодарить мастера Баян за потрясающий сеанс! Очень внимательная, профессиональная и чуткая. С первых минут чувствуется опыт и забота — удалось полностью расслабиться и зарядиться энергией. Все движения были уверенными и аккуратными, с учётом моих пожеланий. Атмосфера в СПА-салоне уютная, а руки мастера — просто волшебные! Обязательно вернусь снова 🙏🏼",5,Beis SPA Hotel & Resort,4.5,2565
Яна Ступишина,26 апреля 2025,"Само место очень нравится, вчера первый раз была на массаже у Асем, она отлично делает массаж, руки сильнее, чем у многих мужчин массажистов.👍🏻 очень советую тем, кто любит жесткий массаж.",5,Beis SPA Hotel & Resort,4.5,2565
Rakhat Nurkhanovich,"25 апреля 2025, отредактирован",Бассейн чистый,5,Beis SPA Hotel & Resort,4.5,2565
Саида Иминова,"25 апреля 2025, отредактирован",Очень компактно. Номера под уставшие. Бассейн маленький.,4,Beis SPA Hotel & Resort,4.5,2565
Farida Kkk,24 апреля 2025,"Фархад управляющий или кем он из себя возомнил, отвратительный ужасно! не умеет соблюдать ни этикета ни другого, что самому не нравится тем и делает выводы ненравство!",1,Beis SPA Hotel & Resort,4.5,2565
Aisha Shaimerdenova,24 апреля 2025,"Отвратительный официант Фархат , максимально ужасный человек !",1,Beis SPA Hotel & Resort,4.5,2565
Амина Гульмирова,24 апреля 2025,"Отель чистый, уютный. Номера тёплые, телевизоры большие. Удобные матрасы — высыпаюсь тут. Администратор вежливый",5,Beis SPA Hotel & Resort,4.5,2565
Анна Веселова,24 апреля 2025,"Уютно, чисто и тихо. Очень понравилось. Бани и бассейны. Вкусный завтрак. Администратор гостеприимный.",5,Beis SPA Hotel & Resort,4.5,2565
Талгат Аукенов,24 апреля 2025,Приятная гостиница. Приветливый персонал. Отличный спа комплекс.,5,Beis SPA Hotel & Resort,4.5,2565
Nastya Tr,"22 апреля 2025, отредактирован","Добрый день, приезжали к вам на сутки, в целом всё очень понравилось, хотелось бы отметить частоту номеров, есть все удобства, большие и вкусные порции в кафе 👍,прекрасные бани ,хорошие бассейны
Желаю поскорее доделать зону полностью (остальные бассейны)",5,Beis SPA Hotel & Resort,4.5,2565
Андрей Гурин,22 апреля 2025,"Все круто, спасибо!",5,Beis SPA Hotel & Resort,4.5,2565
Ainura Koishymanova,"20 апреля 2025, отредактирован","Классное место, много людей было ( суббата) . Спа процедуры супер спецы. массажистки просто класс . Фарида 💕",5,Beis SPA Hotel & Resort,4.5,2565
Albina Nur,20 апреля 2025,"Очень хорошо провели выходные 🥰 Особенно Феруза профессионал своего дела 😍. Все на высшем уровне 🫶🏻. Все нам понравилось, особенно массаж",5,Beis SPA Hotel & Resort,4.5,2565
Анель Сарсенбаева,19 апреля 2025,Отель топ всё есть то что надо для отдыха сауны бассеин джакузи бар приветный персонал а кто пищит плохие отзывы глаза протрите или общаться сами научитесь и у вас все будет круто очень даже хорошее место топ 1 в Алматы такого нету,5,Beis SPA Hotel & Resort,4.5,2565
Алина Якушина,19 апреля 2025,Хорошие бани и бассеин Рахмет,5,Beis SPA Hotel & Resort,4.5,2565
